date	ESPO FOB
2025-07-25	65.73
2025-07-24	65.06
2025-07-23	64.14
2025-07-22	64.4
2025-07-21	64.61
2025-07-18	64.88
2025-07-17	63.46
2025-07-16	63.73
2025-07-15	63.95
2025-07-14	66.06
2025-07-11	64.18
2025-07-10	65.25
2025-07-09	65.72
2025-07-08	64.37
2025-07-07	63.44
2025-07-04	63.46
2025-07-03	63.41
2025-07-02	62.33
2025-07-01	61.98
2025-06-30	62.76
2025-06-27	61.79
2025-06-26	61.81
2025-06-25	62.27
2025-06-24	63.03
2025-06-23	69.66
2025-06-20	70.27
2025-06-19	76.91
2025-06-18	69.26
2025-06-17	67.74
2025-06-16	67.24
2025-06-13	67.56
2025-06-12	63.48
2025-06-11	63.06
2025-06-10	63.03
2025-06-09	62.06
2025-06-06	61.15
2025-06-05	60.65
2025-06-04	61.25
2025-06-03	62.98
2025-06-02	62.02
2025-05-30	60.19
2025-05-29	61.33
2025-05-28	60.18
2025-05-27	60.44
2025-05-26	61.31
2025-05-23	60.58
2025-05-22	61.06
2025-05-21	62.95
2025-05-20	62
2025-05-19	61.21
2025-05-16	60.8
2025-05-15	60.11
2025-05-14	62.12
2025-05-13	61.1
2025-05-09	59.66
2025-05-08	57.82
2025-05-07	59.22
2025-05-06	57.44
2025-05-05	55.43
2025-05-02	57.86
2025-04-30	58.44
2025-04-29	60.36
2025-04-28	61.95
2025-04-25	63.99
2025-04-24	63.97
2025-04-23	63.66
2025-04-22	62.52
2025-04-21	62.4
2025-04-17	62.32
2025-04-16	60.55
2025-04-15	60.09
2025-04-14	60.18
2025-04-11	59.29
2025-04-10	59.5
2025-04-09	55.97
2025-04-08	59.45
2025-04-07	58.69
2025-04-04	63.92
2025-04-03	68.38
2025-04-02	69.55
2025-04-01	69.56
2025-03-28	69.3
2025-03-27	68.44
2025-03-26	68.08
2025-03-25	67.82
2025-03-24	66.64
2025-03-21	66.71
2025-03-20	65.65
2025-03-19	64.55
2025-03-18	65.82
2025-03-17	65.48
2025-03-14	64.55
2025-03-13	65
2025-03-12	64.02
2025-03-11	62.91
2025-03-10	63.79
2025-03-07	63.9
2025-03-06	63.89
2025-03-05	64.5
2025-03-04	64.3
2025-03-03	66.5
2025-02-28	67.48
2025-02-27	67.01
2025-02-26	68.98
2025-02-25	69.01
2025-02-24	68.48
2025-02-21	70.36
2025-02-20	70.7
2025-02-19	70.18
2025-02-18	69.31
2025-02-17	68.65
2025-02-14	69.05
2025-02-13	68.4
2025-02-12	68.58
2025-02-11	70.7
2025-02-10	68.66
2025-02-07	67.95
2025-02-06	66.91
2025-02-05	65.86
2025-02-04	64.05
2025-02-03	65.33
2025-01-31	64.95
2025-01-28	65.96
2025-01-27	65.98
