date	port storage (in 10000 tons)	refineries storage (in 10000 tons)	Change rate (Port inventory)	Change rate (Refineries inventory)
2025-07-25	849	249.6	24	1.3
2025-07-18	825	248.3	24	2.7
2025-07-11	801	245.6	-4	-0.8
2025-07-04	805	246.4	-22	-0.8
2025-06-27	827	247.2	9	-1.6
2025-06-20	818	248.8	17	2.6
2025-06-13	801	246.2	-10	-4.2
2025-06-06	811	250.4	-42	0.5
2025-05-30	853	249.9	-19	2.3
2025-05-23	872	247.6	24	1.1
2025-05-16	848	246.5	0	1.2
2025-05-09	848	245.3	-20	1.6
2025-05-02	868	243.7		
2025-04-25	820	246.2		
2025-04-18	781	248.4		
2025-04-11	781	249.5		
2025-04-04	779	250.9		
2025-03-28	772	250.4		
2025-03-21	773	250.3		
2025-03-14	764	250.1		
2025-03-07	749	252.4		
2025-02-28	776	255.1		
2025-02-21	757	256.4		
2025-02-14	744	263.9		
2025-02-07	745	263.9		
2025-01-31	750	264.2		
2025-01-24	782	264.3		
2025-01-17	784	265.2		
2025-01-10	807	264.9		
2025-01-03	815	264.3		
2024-12-27	848	264.1		
2024-12-20	851	264.9		
2024-12-13	824	265.5		
2024-12-06	821	265.9		
2024-11-29	824	266.8		
2024-11-22	802	266.1		
2024-11-15	827	265.2		
2024-11-08	809	265.3		
2024-11-01	818	265.2		
2024-10-25	795	264.9		
2024-10-18	806	264.3		
2024-10-11	785	264.7		
2024-10-04	786	264.3		
2024-09-27	793	262		
2024-09-20	730	264.1		
2024-09-13	719	263.6		
2024-09-06	751	263.2		
2024-08-30	775	263.8		
2024-08-23	765	264.4		
2024-08-16	760	264.3		
2024-08-09	756	264		
2024-08-02	753	264.1		
2024-07-26	766	265.6		
2024-07-19	747	266.1		
