date	profit/ton (RMB)	profit/ton (USD)
2025-07-25	313.57	43.67270195
2025-07-18	330.28	46
2025-07-11	365.34	50.88300836
2025-07-04	435.88	60.70752089
2025-06-27	376.96	52.50139276
2025-06-20	227.18	31.64066852
2025-06-13	365.34	50.88300836
2025-06-06	451.25	62.84818942
2025-05-30	402.89	56.11281337
2025-05-23	333.69	46.47493036
2025-05-16	335.34	46.70473538
2025-05-09	460.24	64.10027855
2025-05-02	336.91	46.92339833
2025-04-25	352.29	49.06545961
2025-04-18	557.13	77.59470752
2025-04-11	716.89	99.8454039
2025-04-04	312.71	43.55292479
2025-03-28	328.85	45.80083565
2025-03-21	446.22	62.14763231
2025-03-14	559.34	77.90250696
2025-03-07	572.47	79.73119777
2025-02-28	528.49	73.60584958
2025-02-21	501.44	69.83844011
2025-02-14	588.78	82.00278552
2025-02-07	491.34	68.43175487
2025-01-31	421.43	58.69498607
2025-01-24	231.4	32.22841226
2025-01-17	345.36	48.10027855
2025-01-10	215.45	30.00696379
2025-01-03	260.6	36.29526462
2024-12-27	347.17	48.35236769
2024-12-20	336.43	46.85654596
2024-12-13	438.92	61.13091922
2024-12-06	345.75	48.1545961
2024-11-29	225.92	31.46518106
2024-11-22	228.43	31.81476323
2024-11-15	180.48	25.13649025
2024-11-08	217.45	30.28551532
2024-11-01	246.07	34.27158774
2024-10-25	149.58	20.83286908
2024-10-18	103.01	14.34679666
2024-10-11	114.83	15.99303621
2024-10-04	311.29	43.3551532
2024-09-27	232.02	32.31476323
2024-09-20	429.97	59.88440111
2024-09-13	579.45	80.70334262
2024-09-06	403.3	56.16991643
2024-08-30	365.14	50.8551532
2024-08-23	423.42	58.97214485
2024-08-16	404.37	56.3189415
2024-08-09	576.54	80.29805014
2024-08-02	429.98	59.88579387
2024-07-26	316.06	44.01949861
2024-07-19	174.71	24.33286908
2024-07-12	100.46	13.99164345
2024-07-05	83.51	11.63091922
2024-06-28	123.37	17.18245125
2024-06-21	192.82	26.8551532
2024-06-14	333.07	46.38857939
2024-06-07	408.3	56.86629526
2024-05-31	321.58	44.78830084
2024-05-24	264.4	36.82451253
2024-05-17	275.42	38.35933148
2024-05-10	325.61	45.34958217
2024-05-03	227.16	31.63788301
2024-04-26	382.01	53.20473538
2024-04-19	262.66	36.5821727
2024-04-12	36.99	5.151810585
2024-04-05	101.16	14.08913649
2024-03-29	174.29	24.27437326
2024-03-22	197.2	27.46518106
2024-03-15	320.74	44.67130919
2024-03-08	271.69	37.83983287
2024-03-01	205.05	28.55849582
2024-02-23	236.83	32.98467967
2024-02-16	290.15	40.41086351
