date	utilization rate
2025-07-25	48.16
2025-07-18	47.31
2025-07-11	46.14
2025-07-04	44.97
2025-06-27	45.02
2025-06-20	44.95
2025-06-13	45.12
2025-06-06	47
2025-05-30	47.09
2025-05-23	46.09
2025-05-16	47.28
2025-05-09	48.25
2025-05-02	48.5
2025-04-25	48.18
2025-04-18	47.11
2025-04-11	47.79
2025-04-04	46.73
2025-03-28	47.34
2025-03-21	46.12
2025-03-14	44.96
2025-03-07	43.99
2025-02-28	43.17
2025-02-21	43.21
2025-02-14	43.39
2025-02-07	43.64
2025-01-31	43.67
2025-01-24	46.54
2025-01-17	50.68
2025-01-10	51.42
2025-01-03	53.21
2024-12-27	53.02
2024-12-20	54.12
2024-12-13	54.26
2024-12-06	52.43
2024-11-29	52.63
2024-11-22	52.16
2024-11-15	51.39
2024-11-08	50.41
2024-11-01	50.32
2024-10-25	52.41
2024-10-18	54.05
2024-10-11	55.1
2024-10-04	54.08
2024-09-27	53.54
2024-09-20	51.56
2024-09-13	51.97
2024-09-06	52.18
2024-08-30	51.96
2024-08-23	50.76
2024-08-16	50.06
2024-08-09	49.11
2024-08-02	48.38
2024-07-26	49.12
2024-07-19	50.08
2024-07-12	47.37
2024-07-05	50.52
2024-06-28	50.92
2024-06-21	51.97
2024-06-14	51.88
2024-06-07	52.41
2024-05-31	54.56
2024-05-24	55.09
2024-05-17	54.89
2024-05-10	57.6
2024-05-03	55.96
2024-04-26	55.96
2024-04-19	54.76
2024-04-12	53.34
2024-04-05	53.8
2024-03-29	53.56
2024-03-22	53.2
2024-03-15	54.09
2024-03-08	53.54
2024-03-01	54.33
2024-02-23	54.79
2024-02-16	55.88
2024-02-09	56.57
2024-02-02	59.82
2024-01-26	62.61
2024-01-19	62.84
2024-01-12	62.66
2024-01-05	60.17
2023-12-29	58
2023-12-22	56.99
2023-12-15	59.78
2023-12-08	57.97
2023-12-01	57.71
2023-11-24	57.56
2023-11-17	55.96
2023-11-10	56.56
2023-11-03	56.75
2023-10-27	60.92
2023-10-20	63.94
2023-10-13	64.99
2023-10-06	64.99
2023-09-29	66.24
2023-09-22	63.46
2023-09-15	63.36
2023-09-08	60.5
2023-09-01	60.58
2023-08-25	61.9
2023-08-18	62.77
2023-08-11	63.76
2023-08-04	64.1
2023-07-28	62.29
2023-07-21	59.76
2023-07-14	60.86
2023-07-07	60.8
2023-06-30	61.08
2023-06-23	60.9
2023-06-16	61.89
2023-06-09	61.85
2023-06-02	62.93
2023-05-26	62.04
2023-05-19	62.76
2023-05-12	62.11
2023-05-05	61.69
2023-04-28	60.43
2023-04-21	60.7
2023-04-14	61.69
2023-04-07	63.01
2023-03-31	63.31
2023-03-24	62.6
2023-03-17	63.3
2023-03-10	64.56
2023-03-03	64.98
2023-02-24	65.66
2023-02-17	64.5
2023-02-10	64.5
2023-02-03	64.19
2023-01-27	63.61
2023-01-20	63.57
2023-01-13	63.26
2023-01-06	63.71
2022-12-30	66
2022-12-23	66
2022-12-16	64
2022-12-09	63.75
2022-12-02	64.6
2022-11-25	64.31
2022-11-18	64.4
2022-11-11	65.61
2022-11-04	66.35
2022-10-28	66.01
2022-10-21	67.53
2022-10-14	65.43
2022-10-07	61.52
2022-09-30	58.19
